model_arch,encoder,loss_type,data_augmentation,lr,weight_decay,train_loss,iou_score,dice_score
pspnet,efficientnet-b0,dice,True,0.01,0.0,0.2661565709114075,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,True,0.01,0.001,0.26761266469955447,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,True,0.01,0.0,0.13479276180267333,0.6584679484367371,0.7675309181213379
manet,efficientnet-b0,dice,True,0.01,0.001,0.26460048437118533,0.34006959199905396,0.3978302776813507
unet,efficientnet-b0,cross_entropy,True,0.01,0.0,0.2778033483028412,0.5959444642066956,0.7188096642494202
unet,efficientnet-b0,cross_entropy,True,0.01,0.001,0.4804313313961029,0.4777798354625702,0.6089191436767578
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.01,0.0,0.34005330622196195,0.7478307485580444,0.8351117968559265
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.01,0.001,0.4690965485572815,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,cross_entropy,True,0.01,0.0,0.31460403084754945,0.7731927037239075,0.8557494878768921
pspnet,efficientnet-b0,cross_entropy,True,0.01,0.001,0.42738160967826844,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,cross_entropy,True,0.01,0.0,0.35687110424041746,0.5516175031661987,0.6868689060211182
manet,efficientnet-b0,cross_entropy,True,0.01,0.001,0.5022221636772156,0.3376955986022949,0.3986443281173706
unet,efficientnet-b0,dice,True,0.001,0.0,0.05590677738189697,0.8423985242843628,0.9011178612709045
unet,efficientnet-b0,dice,True,0.001,0.001,0.10197095155715942,0.35487109422683716,0.41687172651290894
deeplabv3plus,efficientnet-b0,dice,True,0.001,0.0,0.06806151151657104,0.8523988127708435,0.9033671021461487
deeplabv3plus,efficientnet-b0,dice,True,0.001,0.001,0.10309256792068482,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,True,0.001,0.0,0.26462886333465574,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,True,0.001,0.001,0.26568471670150756,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,True,0.001,0.0,0.07201486825942993,0.8210378885269165,0.8866643309593201
manet,efficientnet-b0,dice,True,0.001,0.001,0.11273842811584472,0.34006959199905396,0.3978302776813507
unet,efficientnet-b0,cross_entropy,True,0.001,0.0,0.15345219314098357,0.852057933807373,0.9034819006919861
unet,efficientnet-b0,cross_entropy,True,0.001,0.001,0.2691510432958603,0.6445847749710083,0.7237482666969299
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.001,0.0,0.15212375342845916,0.8437931537628174,0.900380551815033
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.001,0.001,0.22233551144599914,0.6271353363990784,0.7134578824043274
pspnet,efficientnet-b0,cross_entropy,True,0.001,0.0,0.3040509682893753,0.7633799314498901,0.8411169648170471
pspnet,efficientnet-b0,cross_entropy,True,0.001,0.001,0.2995107913017273,0.7347462177276611,0.7904907464981079
manet,efficientnet-b0,cross_entropy,True,0.001,0.0,0.18020283699035644,0.8066543340682983,0.8745906949043274
manet,efficientnet-b0,cross_entropy,True,0.001,0.001,0.2626073557138443,0.6057963967323303,0.6896436214447021
unet,efficientnet-b0,dice,True,0.0001,0.0,0.08255911827087402,0.8542181849479675,0.903994083404541
unet,efficientnet-b0,dice,True,0.0001,0.001,0.09108768463134766,0.8272565007209778,0.8867028951644897
deeplabv3plus,efficientnet-b0,dice,True,0.0001,0.0,0.10940942287445068,0.7702575325965881,0.8309669494628906
deeplabv3plus,efficientnet-b0,dice,True,0.0001,0.001,0.11540797710418702,0.7593970894813538,0.8176082372665405
pspnet,efficientnet-b0,dice,True,0.0001,0.0,0.26798960447311404,0.34006959199905396,0.3978302776813507
pspnet,efficientnet-b0,dice,True,0.0001,0.001,0.26600630521774293,0.34006959199905396,0.3978302776813507
manet,efficientnet-b0,dice,True,0.0001,0.0,0.09650838613510132,0.85111403465271,0.901832103729248
manet,efficientnet-b0,dice,True,0.0001,0.001,0.1039696455001831,0.8079357147216797,0.8759586811065674
unet,efficientnet-b0,cross_entropy,True,0.0001,0.0,0.17029607892036439,0.8580995202064514,0.9077873229980469
unet,efficientnet-b0,cross_entropy,True,0.0001,0.001,0.17377391278743745,0.8443998098373413,0.8931669592857361
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.0001,0.0,0.2428841596841812,0.788349986076355,0.8573058843612671
deeplabv3plus,efficientnet-b0,cross_entropy,True,0.0001,0.001,0.2508921653032303,0.8054304718971252,0.8627529740333557
pspnet,efficientnet-b0,cross_entropy,True,0.0001,0.0,0.39001205801963806,0.711326003074646,0.8062270879745483
pspnet,efficientnet-b0,cross_entropy,True,0.0001,0.001,0.39774559378623964,0.7029553651809692,0.8003768920898438
manet,efficientnet-b0,cross_entropy,True,0.0001,0.0,0.2056822782754898,0.8390141129493713,0.8885068297386169
manet,efficientnet-b0,cross_entropy,True,0.0001,0.001,0.2143217730522156,0.8402149677276611,0.8956598043441772
unet,resnet34,dice,False,0.01,0.0,0.15563159704208374,0.5552793741226196,0.6900800466537476
unet,resnet34,dice,False,0.01,0.001,0.18610816955566406,0.34006959199905396,0.3978302776813507
deeplabv3plus,resnet34,dice,False,0.01,0.0,0.1311646842956543,0.586868405342102,0.7237759232521057
deeplabv3plus,resnet34,dice,False,0.01,0.001,0.16419851541519165,0.5375950336456299,0.6840678453445435
pspnet,resnet34,dice,False,0.01,0.0,0.18559309244155883,0.34006959199905396,0.3978302776813507
pspnet,resnet34,dice,False,0.01,0.001,0.1853214359283447,0.34006959199905396,0.3978302776813507
manet,resnet34,dice,False,0.01,0.0,0.143572199344635,0.603873074054718,0.7434028387069702
manet,resnet34,dice,False,0.01,0.001,0.18601428747177123,0.34006959199905396,0.3978302776813507
unet,resnet34,cross_entropy,False,0.01,0.0,0.40930482029914855,0.6352499723434448,0.7605299353599548
unet,resnet34,cross_entropy,False,0.01,0.001,0.4625562834739685,0.4208948314189911,0.5213605761528015
deeplabv3plus,resnet34,cross_entropy,False,0.01,0.0,0.4137910521030426,0.6236094832420349,0.7555325031280518
deeplabv3plus,resnet34,cross_entropy,False,0.01,0.001,0.4655140197277069,0.5194073915481567,0.6678100824356079
pspnet,resnet34,cross_entropy,False,0.01,0.0,0.3875288450717926,0.6501041650772095,0.7587118744850159
pspnet,resnet34,cross_entropy,False,0.01,0.001,0.43896570801734924,0.573708713054657,0.6991592645645142
manet,resnet34,cross_entropy,False,0.01,0.0,0.41802124500274657,0.581343412399292,0.7123687863349915
