learning_rate,weight_decay,dropout_rate,val_accuracy,train_accuracy,val_loss,train_loss,epoch,time_elapsed
0.01,0.0,0.0,0.41333333333333333,0.9870588235294118,5.839402588738335,0.045220889243640816,13,69.10431122779846
0.01,0.0001,0.0,0.3977777777777778,0.9890196078431372,5.503618205918206,0.03636551503009875,14,73.50279378890991
0.01,0.001,0.0,0.41555555555555557,0.9878431372549019,4.0616584878497655,0.047494059607897904,16,82.39465665817261
0.001,0.0,0.0,0.45111111111111113,0.9988235294117647,2.5092216555277504,0.08632353439050562,26,116.97060894966125
0.001,0.0001,0.0,0.44666666666666666,0.9996078431372548,2.5191027312808565,0.07446097338900846,29,134.2491374015808
0.001,0.001,0.0,0.42,0.9623529411764705,2.5274041430155436,0.5192188788395302,10,64.56006741523743
0.0001,0.0,0.0,0.42,0.9388235294117646,2.659165484110514,1.0280237405440387,45,189.24832725524902
0.0001,0.0001,0.0,0.42666666666666664,0.8976470588235294,2.819601600435045,1.409873444706786,35,155.32987999916077
0.0001,0.001,0.0,0.41555555555555557,0.8956862745098039,2.854451906416151,1.4979325214086794,34,147.21087789535522
0.1,0.0,0.0,0.40444444444444444,0.9819607843137255,52.017914326985675,0.3134925454019244,17,87.65665650367737
0.1,0.0001,0.0,0.4022222222222222,0.9733333333333333,30.715717569986978,0.29938525660479764,27,122.703298330307
0.1,0.001,0.0,0.4022222222222222,0.9090196078431372,10.12103020562066,0.46689397042589525,21,102.6706931591034
0.01,0.0,0.2,0.4288888888888889,0.9450980392156862,5.713611399332683,0.2043652690398306,19,98.53509163856506
0.01,0.0001,0.2,0.4066666666666667,0.936470588235294,5.9649696540832515,0.23551682340200333,16,120.26734614372253
0.01,0.001,0.2,0.41333333333333333,0.9168627450980392,4.121362790001763,0.2700758118065549,17,155.59305095672607
0.001,0.0,0.2,0.42666666666666664,0.9137254901960784,2.5264782370461356,0.586847671994976,12,122.62209820747375
0.001,0.0001,0.2,0.4577777777777778,0.983921568627451,2.479371458027098,0.1894397905293633,25,134.70880150794983
0.001,0.001,0.2,0.44,0.9356862745098039,2.519449954562717,0.49600737328622857,16,86.81325554847717
0.0001,0.0,0.2,0.41555555555555557,0.8666666666666666,2.731958137088352,1.360049405378454,44,188.20050716400146
0.0001,0.0001,0.2,0.42,0.8709803921568627,2.7259773233201767,1.2971007242389754,46,189.99548602104187
0.0001,0.001,0.2,0.42666666666666664,0.8686274509803921,2.745463876724243,1.4297551390703986,43,189.97223901748657
0.1,0.0,0.2,0.4,0.9337254901960784,56.757254435221355,1.9200767575566102,35,160.32401037216187
0.1,0.0001,0.2,0.30444444444444446,0.4945098039215686,57.04463667127821,27.233973793282228,5,45.430161237716675
0.1,0.001,0.2,0.18,0.22470588235294117,50.60081698099772,43.735756512810205,2,34.30547499656677
0.01,0.0,0.5,0.4,0.6317647058823529,6.143239819208037,2.597583158530441,16,98.20293116569519
0.01,0.0001,0.5,0.4022222222222222,0.6278431372549019,6.615475218031142,3.003395459511701,17,145.43064165115356
0.01,0.001,0.5,0.4177777777777778,0.5874509803921568,4.149921317630344,2.2438835753646553,21,183.81845951080322
0.001,0.0,0.5,0.4066666666666667,0.6423529411764706,2.5930896250406903,1.4055120731802548,11,116.61518049240112
0.001,0.0001,0.5,0.41555555555555557,0.6588235294117647,2.5900170432196723,1.3312900280484967,12,96.02224946022034
0.001,0.001,0.5,0.4444444444444444,0.6992156862745098,2.469569268756443,1.1621225315916772,20,107.06454515457153
0.0001,0.0,0.5,0.39555555555555555,0.6078431372549019,3.2590825038486058,2.502337663126927,31,141.21922540664673
0.0001,0.0001,0.5,0.4066666666666667,0.7007843137254902,2.881792753007677,1.8753757714290245,49,182.2345576286316
0.0001,0.001,0.5,0.4222222222222222,0.6858823529411764,2.9106410111321344,1.9341562158921186,48,184.0184280872345
0.1,0.0,0.5,0.4111111111111111,0.6266666666666666,56.69812818739149,24.877560812258253,24,112.33391332626343
0.1,0.0001,0.5,0.3933333333333333,0.5470588235294117,43.33002655029297,24.91927500406901,15,79.4848153591156
0.1,0.001,0.5,0.2,0.1588235294117647,49.48820115831163,60.794998282638254,7,51.736915826797485
