learning_rate,weight_decay,dropout_rate,val_accuracy,train_accuracy,val_loss,train_loss,epoch,time_elapsed
0.01,0.0,0,0.35777777777777775,0.9898039215686274,7.5464803658591375,0.028735144410554008,17,71.61383318901062
0.01,0.0001,0,0.35555555555555557,0.983921568627451,8.765149014790852,0.047324105560100194,15,62.730722188949585
0.01,0.001,0,0.2688888888888889,0.6780392156862745,7.355943264431423,1.9366441651886586,3,26.96911334991455
0.001,0.0,0,0.36444444444444446,0.9898039215686274,4.90231409072876,0.036946223527558296,9,44.85127544403076
0.001,0.0001,0,0.36666666666666664,0.9909803921568627,4.593514777289497,0.04122496622304122,2,20.06283450126648
0.001,0.001,0,0.35777777777777775,0.9894117647058823,3.4084647369384764,0.12158864105449003,3,21.261367321014404
0.0001,0.0,0,0.3711111111111111,0.9984313725490196,3.033939396540324,0.09065096674012203,1,17.194130420684814
0.0001,0.0001,0,0.3844444444444444,0.9984313725490196,3.019103800455729,0.08234044626647351,0,15.751736402511597
0.0001,0.001,0,0.3711111111111111,0.9988235294117647,3.026807736290826,0.07886218882074543,2,19.469011068344116
0.1,0.0,0,0.35555555555555557,0.9815686274509804,61.97524922688802,0.33172593707606285,21,60.54199695587158
0.1,0.0001,0,0.23777777777777778,0.5647058823529412,82.43469424777561,24.871345339756385,4,24.076910495758057
0.1,0.001,0,0.16444444444444445,0.2568627450980392,63.406453450520836,47.78182069666246,8,32.829973220825195
