learning_rate,weight_decay,dropout_rate,val_accuracy,train_accuracy,val_loss,train_loss,epoch,time_elapsed
0.01,0.0,0.2,0.4177777777777778,0.9466666666666667,6.700280884636773,0.20703418414126717,14,75.88584542274475
0.01,0.0001,0.2,0.4177777777777778,0.9470588235294117,7.389460274510913,0.23906388688605967,18,92.96420097351074
0.01,0.001,0.2,0.31777777777777777,0.6537254901960784,7.107011614003698,2.1269255299661673,5,43.8143789768219
0.001,0.0,0.2,0.41333333333333333,0.9050980392156862,4.7232941351996525,0.35666915192907933,1,28.698168516159058
0.001,0.0001,0.2,0.42666666666666664,0.916470588235294,4.373995056152344,0.26502541239355126,1,28.564293146133423
0.001,0.001,0.2,0.4222222222222222,0.928235294117647,3.5531851063834297,0.23865775129958694,2,32.3654363155365
0.0001,0.0,0.2,0.44222222222222224,0.9568627450980391,3.103287082248264,0.15069306218740988,10,61.23187184333801
0.0001,0.0001,0.2,0.44222222222222224,0.9619607843137254,3.0569319832738904,0.1417867293720152,2,32.43751621246338
0.0001,0.001,0.2,0.44666666666666666,0.9631372549019608,3.0126853317684597,0.1343296079249943,4,38.44980430603027
0.1,0.0,0.2,0.4088888888888889,0.9337254901960784,52.84208265516493,1.5107233402860485,26,118.23669195175171
0.1,0.0001,0.2,0.37555555555555553,0.8686274509803921,45.432487114800345,3.4448363738523997,15,80.26069617271423
0.1,0.001,0.2,0.19333333333333333,0.26352941176470585,51.27029778374566,42.01044316908892,2,32.74590468406677
